cycle,trajectory,threshold,replicates,mean_proposals,p_stop16,p_stop32,p_exact_best,p_within_001,mean_score_loss,p_no_passing,p_loss_over_001,prefix_proposals,prefix_score_loss
14,4,0.0001,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
14,4,0.001,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
14,4,0.005,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
14,4,0.01,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
14,5,0.0001,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
14,5,0.001,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
14,5,0.005,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
14,5,0.01,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
15,3,0.0001,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
15,3,0.001,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
